"","d$nombre_act","d$latitud","d$longitud"
"265","Bufetes jurídicos",19.41820121,-99.17350458
"266","Bufetes jurídicos",19.3766527,-99.17064261
"267","Bufetes jurídicos",19.40720549,-99.16797246
"268","Bufetes jurídicos",19.45198253,-99.15434265
"269","Bufetes jurídicos",19.3859441,-99.15192145
"270","Bufetes jurídicos",19.42072803,-99.1520135
"271","Bufetes jurídicos",19.39508934,-99.17675924
"272","Bufetes jurídicos",19.42222695,-99.20309949
"273","Bufetes jurídicos",19.43638755,-99.16301562
"274","Bufetes jurídicos",19.3691611,-99.18225981
"275","Bufetes jurídicos",19.43390893,-99.15804004
"276","Bufetes jurídicos",19.43318459,-99.15836167
"277","Bufetes jurídicos",19.38149281,-99.15737079
"278","Bufetes jurídicos",19.42646339,-99.15619496
"279","Bufetes jurídicos",19.39710257,-99.17022708
"280","Bufetes jurídicos",19.43271679,-99.1656584
"281","Bufetes jurídicos",19.43130999,-99.16154889
"282","Bufetes jurídicos",19.41412161,-99.17031793
"283","Bufetes jurídicos",19.42307034,-99.15688016
"284","Bufetes jurídicos",19.41816574,-99.16771715
"285","Bufetes jurídicos",19.42218719,-99.15527137
"286","Bufetes jurídicos",19.43186909,-99.1422661
"287","Bufetes jurídicos",19.40605113,-99.16770668
"288","Bufetes jurídicos",19.39762996,-99.1710382
"289","Bufetes jurídicos",19.38170437,-99.17578855
"290","Bufetes jurídicos",19.42880767,-99.1765569
"291","Bufetes jurídicos",19.43389769,-99.14741671
"292","Bufetes jurídicos",19.3998554,-99.16118636
"293","Bufetes jurídicos",19.42077509,-99.17057914
"294","Bufetes jurídicos",19.40741501,-99.16307292
"295","Bufetes jurídicos",19.38255311,-99.1766578
"296","Bufetes jurídicos",19.4053873,-99.15973278
"297","Bufetes jurídicos",19.42510838,-99.1667681
"298","Bufetes jurídicos",19.41816574,-99.16771715
"299","Bufetes jurídicos",19.38149281,-99.15737079
"300","Bufetes jurídicos",19.3823847,-99.17493547
"301","Bufetes jurídicos",19.38259428,-99.17889966
"302","Bufetes jurídicos",19.41069401,-99.16764278
"303","Bufetes jurídicos",19.40195179,-99.16967031
"304","Bufetes jurídicos",19.41180263,-99.16343012
"305","Bufetes jurídicos",19.40624803,-99.16672309
"306","Bufetes jurídicos",19.42715419,-99.16438199
"307","Bufetes jurídicos",19.43336486,-99.15068647
"308","Bufetes jurídicos",19.36790691,-99.17849377
"309","Bufetes jurídicos",19.38210646,-99.17660055
"310","Bufetes jurídicos",19.40380678,-99.16326389
"311","Bufetes jurídicos",19.37523633,-99.17655377
"312","Bufetes jurídicos",19.40846474,-99.17227249
"313","Bufetes jurídicos",19.4010226,-99.14745635
"314","Bufetes jurídicos",19.42096682,-99.15093768
"315","Bufetes jurídicos",19.42628493,-99.1643731
"316","Bufetes jurídicos",19.42015204,-99.1560791
"317","Bufetes jurídicos",19.42993547,-99.15651948
"318","Bufetes jurídicos",19.40206099,-99.16242544
"319","Bufetes jurídicos",19.39832526,-99.15653297
"320","Bufetes jurídicos",19.43336486,-99.15068647
"321","Bufetes jurídicos",19.39607635,-99.16012347
"322","Bufetes jurídicos",19.43462961,-99.18145393
"323","Bufetes jurídicos",19.43354427,-99.13742474
"324","Bufetes jurídicos",19.42729008,-99.14375192
"325","Bufetes jurídicos",19.39469531,-99.17352978
"326","Bufetes jurídicos",19.36836431,-99.17619205
"327","Bufetes jurídicos",19.42864266,-99.2041726
"328","Bufetes jurídicos",19.36231408,-99.18482601
"329","Bufetes jurídicos",19.43029472,-99.18266
"330","Bufetes jurídicos",19.40555045,-99.17186956
"331","Bufetes jurídicos",19.40195194,-99.16967084
"332","Bufetes jurídicos",19.4161689,-99.16636716
"333","Bufetes jurídicos",19.41381361,-99.16491976
"334","Bufetes jurídicos",19.43345973,-99.14596973
"335","Bufetes jurídicos",19.43389769,-99.14741671
"336","Bufetes jurídicos",19.43593085,-99.13478899
"337","Bufetes jurídicos",19.41869303,-99.1627347
