"","Fecha_Retiro","viajes"
"707",2018-06-01,29529
"708",2018-06-02,13290
"709",2018-06-03,11611
"710",2018-06-04,32158
"711",2018-06-05,33459
"712",2018-06-06,33485
"713",2018-06-07,33392
"714",2018-06-08,29399
"715",2018-06-09,12832
"716",2018-06-10,12506
"717",2018-06-11,29570
"718",2018-06-12,24750
"719",2018-06-13,20774
"720",2018-06-14,16200
"721",2018-06-15,21223
"722",2018-06-16,12801
"723",2018-06-17,9728
"724",2018-06-18,20330
"725",2018-06-19,30882
"726",2018-06-20,31522
"727",2018-06-21,29408
"728",2018-06-22,28712
"729",2018-06-23,11827
"730",2018-06-24,9687
"731",2018-06-25,27147
"732",2018-06-26,25400
"733",2018-06-27,29530
"734",2018-06-28,28039
"735",2018-06-29,28941
"736",2018-06-30,11959
"737",2018-07-01,11828
"738",2018-07-02,26289
"739",2018-07-03,28164
"740",2018-07-04,30668
"741",2018-07-05,30982
"742",2018-07-06,28447
"743",2018-07-07,11981
"744",2018-07-08,9736
"745",2018-07-09,25013
"746",2018-07-10,26268
"747",2018-07-11,27502
"748",2018-07-12,29465
"749",2018-07-13,24077
"750",2018-07-14,11153
"751",2018-07-15,10168
"752",2018-07-16,28553
"753",2018-07-17,29142
"754",2018-07-18,29303
"755",2018-07-19,29772
"756",2018-07-20,25126
"757",2018-07-21,13003
"758",2018-07-22,11355
"759",2018-07-23,28090
"760",2018-07-24,29874
"761",2018-07-25,29280
"762",2018-07-26,26340
"763",2018-07-27,26767
"764",2018-07-28,12074
"765",2018-07-29,11103
"766",2018-07-30,28690
"767",2018-07-31,28326
