,Fecha_Retiro,viajes
626,11/10/2015,36345
627,11/11/2015,36400
628,11/12/2015,35347
629,11/13/2015,32013
630,11/14/2015,13334
631,11/15/2015,11552
632,11/16/2015,12071
633,11/17/2015,33762
634,11/18/2015,35322
635,11/19/2015,34401
636,11/20/2015,32735
637,11/21/2015,14970
638,11/22/2015,11829
639,11/23/2015,32266
640,11/24/2015,34115
641,11/25/2015,33734
642,11/26/2015,34908
643,11/27/2015,32170
644,11/28/2015,14445
645,11/29/2015,12191
646,11/30/2015,32783
647,12/1/2015,34518
648,12/2/2015,33631
649,12/3/2015,30158
650,12/4/2015,27887
651,12/5/2015,13064
652,12/6/2015,10555
653,12/7/2015,30711
654,12/8/2015,30580
655,12/9/2015,32329
656,12/10/2015,32063
657,12/11/2015,30043
658,12/12/2015,12552
659,12/13/2015,10467
660,12/14/2015,30037
661,12/15/2015,31661
662,12/16/2015,31323
663,12/17/2015,29895
664,12/18/2015,26281
665,12/19/2015,11699
666,12/20/2015,10137
667,12/21/2015,23861
668,12/22/2015,23683
669,12/23/2015,21766
670,12/24/2015,11887
671,12/25/2015,3474
672,12/26/2015,8506
673,12/27/2015,7859
674,12/28/2015,17218
675,12/29/2015,17423
676,12/30/2015,16797
677,12/31/2015,10714
